"Notes"	"County"	"County Code"	Avg Daily Max Air Temperature (F)	Avg Daily Min Air Temperature (F)	Avg Daily Max Heat Index (F)
	"Wyandotte County, KS"	"20209"	68.62	45.51	97.28
	"Adair County, KY"	"21001"	66.85	49.28	93.72
	"Allen County, KY"	"21003"	68.07	50.56	94.37
	"Anderson County, KY"	"21005"	65.47	48.52	93.88
	"Ballard County, KY"	"21007"	69.22	50.00	97.88
	"Barren County, KY"	"21009"	67.50	49.70	94.56
	"Bath County, KY"	"21011"	65.41	47.88	93.39
	"Bell County, KY"	"21013"	65.12	48.44	90.06
	"Boone County, KY"	"21015"	64.40	47.07	94.56
	"Bourbon County, KY"	"21017"	64.84	47.53	93.34
	"Boyd County, KY"	"21019"	65.65	48.06	93.60
	"Boyle County, KY"	"21021"	65.43	48.23	92.94
	"Bracken County, KY"	"21023"	64.61	47.52	94.06
	"Breathitt County, KY"	"21025"	66.23	49.28	92.35
	"Breckinridge County, KY"	"21027"	66.86	48.91	94.71
	"Bullitt County, KY"	"21029"	66.59	48.94	95.49
	"Butler County, KY"	"21031"	68.00	49.81	95.42
	"Caldwell County, KY"	"21033"	68.28	49.77	95.96
	"Calloway County, KY"	"21035"	69.54	50.70	96.47
	"Campbell County, KY"	"21037"	64.53	47.38	94.78
	"Carlisle County, KY"	"21039"	69.82	50.61	97.62
	"Carroll County, KY"	"21041"	64.99	48.43	94.72
	"Carter County, KY"	"21043"	64.97	47.64	93.58
	"Casey County, KY"	"21045"	66.03	48.77	92.80
	"Christian County, KY"	"21047"	68.44	50.23	95.24
	"Clark County, KY"	"21049"	65.34	47.87	93.30
	"Clay County, KY"	"21051"	66.08	49.07	91.80
	"Clinton County, KY"	"21053"	66.95	49.63	93.23
	"Crittenden County, KY"	"21055"	68.02	49.17	96.45
	"Cumberland County, KY"	"21057"	67.68	50.18	94.17
	"Daviess County, KY"	"21059"	67.59	49.22	96.21
	"Edmonson County, KY"	"21061"	67.40	49.35	94.94
	"Elliott County, KY"	"21063"	65.09	47.69	93.37
	"Estill County, KY"	"21065"	66.09	48.42	93.27
	"Fayette County, KY"	"21067"	64.79	47.60	92.91
	"Fleming County, KY"	"21069"	64.82	47.46	93.75
	"Floyd County, KY"	"21071"	66.29	49.42	91.73
	"Franklin County, KY"	"21073"	65.26	48.47	94.13
	"Fulton County, KY"	"21075"	70.88	51.18	97.55
	"Gallatin County, KY"	"21077"	64.84	47.71	94.88
	"Garrard County, KY"	"21079"	65.73	48.72	93.10
	"Grant County, KY"	"21081"	64.47	47.19	93.90
	"Graves County, KY"	"21083"	69.57	50.86	96.97
	"Grayson County, KY"	"21085"	67.02	49.03	94.69
	"Green County, KY"	"21087"	66.96	49.63	94.46
	"Greenup County, KY"	"21089"	65.30	47.97	93.84
	"Hancock County, KY"	"21091"	67.17	49.34	95.30
	"Hardin County, KY"	"21093"	66.46	48.80	94.51
	"Harlan County, KY"	"21095"	63.55	48.03	88.60
	"Harrison County, KY"	"21097"	64.82	47.61	93.71
	"Hart County, KY"	"21099"	67.00	49.19	94.62
	"Henderson County, KY"	"21101"	67.54	49.22	96.45
	"Henry County, KY"	"21103"	64.97	48.33	94.12
	"Hickman County, KY"	"21105"	70.35	51.01	97.37
	"Hopkins County, KY"	"21107"	68.22	50.15	96.03
	"Jackson County, KY"	"21109"	65.41	48.33	91.83
	"Jefferson County, KY"	"21111"	66.35	48.64	95.24
	"Jessamine County, KY"	"21113"	65.23	48.08	93.14
	"Johnson County, KY"	"21115"	66.13	48.70	92.68
	"Kenton County, KY"	"21117"	64.31	47.00	94.24
	"Knott County, KY"	"21119"	65.51	48.90	91.08
	"Knox County, KY"	"21121"	66.25	49.09	91.41
	"Larue County, KY"	"21123"	66.26	49.47	94.13
	"Laurel County, KY"	"21125"	66.05	49.27	91.75
	"Lawrence County, KY"	"21127"	66.00	48.54	93.23
	"Lee County, KY"	"21129"	66.05	48.31	92.64
	"Leslie County, KY"	"21131"	65.17	48.88	90.78
	"Letcher County, KY"	"21133"	64.79	48.94	89.98
	"Lewis County, KY"	"21135"	64.51	47.28	93.74
	"Lincoln County, KY"	"21137"	65.48	48.76	92.38
	"Livingston County, KY"	"21139"	68.51	49.52	97.03
	"Logan County, KY"	"21141"	68.44	50.05	94.98
	"Lyon County, KY"	"21143"	68.93	49.91	96.77
	"McCracken County, KY"	"21145"	68.95	49.92	97.44
	"McCreary County, KY"	"21147"	66.78	49.85	92.32
	"McLean County, KY"	"21149"	68.11	49.29	96.08
	"Madison County, KY"	"21151"	65.67	48.32	92.92
	"Magoffin County, KY"	"21153"	65.86	48.67	92.18
	"Marion County, KY"	"21155"	66.12	49.16	93.91
	"Marshall County, KY"	"21157"	69.18	50.17	96.92
	"Martin County, KY"	"21159"	66.12	48.67	92.23
	"Mason County, KY"	"21161"	64.53	47.37	94.08
	"Meade County, KY"	"21163"	66.76	48.96	94.87
	"Menifee County, KY"	"21165"	65.01	47.40	92.32
	"Mercer County, KY"	"21167"	65.49	48.35	93.56
	"Metcalfe County, KY"	"21169"	67.05	49.34	93.70
	"Monroe County, KY"	"21171"	67.64	49.98	94.01
	"Montgomery County, KY"	"21173"	65.48	47.85	93.10
	"Morgan County, KY"	"21175"	65.41	47.89	92.82
	"Muhlenberg County, KY"	"21177"	68.24	49.49	95.68
	"Nelson County, KY"	"21179"	66.48	49.34	94.94
	"Nicholas County, KY"	"21181"	64.89	47.55	93.64
	"Ohio County, KY"	"21183"	67.80	49.39	95.56
	"Oldham County, KY"	"21185"	65.54	48.52	94.66
	"Owen County, KY"	"21187"	64.64	47.67	93.85
	"Owsley County, KY"	"21189"	66.14	48.95	92.20
	"Pendleton County, KY"	"21191"	64.70	47.43	94.37
	"Perry County, KY"	"21193"	65.91	49.45	91.71
	"Pike County, KY"	"21195"	65.86	49.10	90.87
	"Powell County, KY"	"21197"	65.74	48.04	92.95
	"Pulaski County, KY"	"21199"	66.29	49.14	92.70
	"Robertson County, KY"	"21201"	64.80	47.61	93.93
	"Rockcastle County, KY"	"21203"	65.48	49.17	92.01
	"Rowan County, KY"	"21205"	64.99	47.55	93.25
	"Russell County, KY"	"21207"	66.66	49.04	93.36
	"Scott County, KY"	"21209"	64.79	47.77	93.31
	"Shelby County, KY"	"21211"	65.17	48.08	93.90
	"Simpson County, KY"	"21213"	68.13	50.25	94.56
	"Spencer County, KY"	"21215"	66.03	48.66	94.80
	"Taylor County, KY"	"21217"	66.29	49.30	93.75
	"Todd County, KY"	"21219"	68.48	50.12	94.96
	"Trigg County, KY"	"21221"	69.02	50.24	96.15
	"Trimble County, KY"	"21223"	64.78	48.45	94.17
	"Union County, KY"	"21225"	67.94	49.28	96.63
	"Warren County, KY"	"21227"	68.07	49.97	95.13
	"Washington County, KY"	"21229"	66.03	49.01	94.18
	"Wayne County, KY"	"21231"	66.62	49.38	92.87
	"Webster County, KY"	"21233"	67.95	49.30	96.34
	"Whitley County, KY"	"21235"	66.57	49.57	91.73
	"Wolfe County, KY"	"21237"	65.60	48.02	92.42
	"Woodford County, KY"	"21239"	65.25	48.30	93.62
	"Acadia Parish, LA"	"22001"	81.19	57.38	95.87
	"Allen Parish, LA"	"22003"	82.28	56.12	96.06
	"Ascension Parish, LA"	"22005"	82.15	57.15	94.96
	"Assumption Parish, LA"	"22007"	82.12	57.98	94.82
	"Avoyelles Parish, LA"	"22009"	82.73	56.50	96.69
	"Beauregard Parish, LA"	"22011"	82.68	56.52	95.86
	"Bienville Parish, LA"	"22013"	82.64	54.85	96.86
	"Bossier Parish, LA"	"22015"	82.95	54.83	97.57
	"Caddo Parish, LA"	"22017"	83.16	55.49	97.73
	"Calcasieu Parish, LA"	"22019"	81.73	58.01	95.26
	"Caldwell Parish, LA"	"22021"	82.01	56.05	96.84
	"Cameron Parish, LA"	"22023"	78.65	62.30	95.07
	"Catahoula Parish, LA"	"22025"	82.52	56.06	97.12
	"Claiborne Parish, LA"	"22027"	81.79	55.18	97.13
	"Concordia Parish, LA"	"22029"	82.39	56.19	97.16
	"De Soto Parish, LA"	"22031"	83.77	55.63	97.31
	"East Baton Rouge Parish, LA"	"22033"	81.83	56.92	95.55
	"East Carroll Parish, LA"	"22035"	80.51	55.51	97.22
	"East Feliciana Parish, LA"	"22037"	81.01	57.45	95.33
	"Evangeline Parish, LA"	"22039"	81.70	56.99	96.25
	"Franklin Parish, LA"	"22041"	81.91	55.97	97.18
	"Grant Parish, LA"	"22043"	82.75	56.07	96.67
	"Iberia Parish, LA"	"22045"	78.98	61.16	95.00
	"Iberville Parish, LA"	"22047"	82.14	57.02	95.21
	"Jackson Parish, LA"	"22049"	81.81	55.07	96.63
	"Jefferson Parish, LA"	"22051"	80.52	61.19	94.71
	"Jefferson Davis Parish, LA"	"22053"	81.56	57.00	95.53
	"Lafayette Parish, LA"	"22055"	80.76	57.70	95.27
	"Lafourche Parish, LA"	"22057"	80.40	61.34	94.55
	"LaSalle Parish, LA"	"22059"	82.53	56.05	96.88
	"Lincoln Parish, LA"	"22061"	81.79	54.61	96.97
	"Livingston Parish, LA"	"22063"	81.76	57.12	95.25
	"Madison Parish, LA"	"22065"	81.06	55.65	97.30
	"Morehouse Parish, LA"	"22067"	81.04	55.31	97.44
	"Natchitoches Parish, LA"	"22069"	83.10	56.31	96.84
	"Orleans Parish, LA"	"22071"	80.00	61.59	94.77
	"Ouachita Parish, LA"	"22073"	81.75	55.15	97.16
	"Plaquemines Parish, LA"	"22075"	76.58	66.91	94.74
	"Pointe Coupee Parish, LA"	"22077"	82.35	56.40	95.92
	"Rapides Parish, LA"	"22079"	82.42	56.52	96.34
	"Red River Parish, LA"	"22081"	83.58	55.43	97.31
	"Richland Parish, LA"	"22083"	81.53	55.69	97.36
	"Sabine Parish, LA"	"22085"	83.13	57.24	96.46
	"St. Bernard Parish, LA"	"22087"	77.21	65.33	95.04
	"St. Charles Parish, LA"	"22089"	81.21	59.62	94.63
	"St. Helena Parish, LA"	"22091"	80.77	56.69	95.14
	"St. James Parish, LA"	"22093"	82.20	57.59	94.95
	"St. John the Baptist Parish, LA"	"22095"	81.62	58.24	94.88
	"St. Landry Parish, LA"	"22097"	81.87	56.54	95.83
	"St. Martin Parish, LA"	"22099"	81.44	58.00	94.91
	"St. Mary Parish, LA"	"22101"	80.38	60.22	94.71
	"St. Tammany Parish, LA"	"22103"	80.17	59.71	94.91
	"Tangipahoa Parish, LA"	"22105"	80.92	57.37	95.00
	"Tensas Parish, LA"	"22107"	81.86	55.93	97.20
	"Terrebonne Parish, LA"	"22109"	80.29	61.55	94.49
	"Union Parish, LA"	"22111"	81.53	54.91	97.29
	"Vermilion Parish, LA"	"22113"	80.03	60.14	95.34
	"Vernon Parish, LA"	"22115"	82.36	56.38	95.87
	"Washington Parish, LA"	"22117"	80.26	56.91	94.91
	"Webster Parish, LA"	"22119"	82.65	55.08	97.40
	"West Baton Rouge Parish, LA"	"22121"	82.21	56.65	95.66
	"West Carroll Parish, LA"	"22123"	80.53	55.40	97.17
	"West Feliciana Parish, LA"	"22125"	81.95	56.65	95.86
	"Winn Parish, LA"	"22127"	82.55	55.94	96.79
	"Androscoggin County, ME"	"23001"	54.15	40.51	87.44
	"Aroostook County, ME"	"23003"	48.53	33.90	84.81
	"Cumberland County, ME"	"23005"	53.91	41.02	87.85
	"Franklin County, ME"	"23007"	49.04	36.03	87.01
	"Hancock County, ME"	"23009"	53.14	39.00	86.92
	"Kennebec County, ME"	"23011"	54.05	39.78	87.79
	"Knox County, ME"	"23013"	53.64	39.99	88.12
	"Lincoln County, ME"	"23015"	53.26	40.87	88.55
	"Oxford County, ME"	"23017"	51.17	37.87	87.43
	"Penobscot County, ME"	"23019"	52.00	37.58	86.56
	"Piscataquis County, ME"	"23021"	49.17	34.82	85.67
	"Sagadahoc County, ME"	"23023"	53.09	41.62	88.22
	"Somerset County, ME"	"23025"	49.35	35.40	86.50
	"Waldo County, ME"	"23027"	53.64	39.07	87.69
	"Washington County, ME"	"23029"	52.65	38.59	86.33
	"York County, ME"	"23031"	55.17	41.59	87.02
	"Allegany County, MD"	"24001"	61.86	45.41	89.50
	"Anne Arundel County, MD"	"24003"	63.24	51.55	90.44
	"Baltimore County, MD"	"24005"	63.39	47.25	91.45
	"Calvert County, MD"	"24009"	63.63	52.59	90.06
	"Caroline County, MD"	"24011"	65.56	49.19	91.25
	"Carroll County, MD"	"24013"	62.59	46.20	90.87
	"Cecil County, MD"	"24015"	64.06	48.00	91.58
	"Charles County, MD"	"24017"	67.68	48.47	92.57
	"Dorchester County, MD"	"24019"	64.32	52.38	90.21
	"Frederick County, MD"	"24021"	63.67	46.51	90.74
	"Garrett County, MD"	"24023"	58.08	42.92	86.77
	"Harford County, MD"	"24025"	63.47	47.43	91.52
	"Howard County, MD"	"24027"	64.27	47.71	91.22
	"Kent County, MD"	"24029"	64.95	48.91	91.16
	"Montgomery County, MD"	"24031"	65.20	47.86	91.28
	"Prince George's County, MD"	"24033"	65.66	49.30	91.73
	"Queen Anne's County, MD"	"24035"	65.18	48.93	91.31
	"St. Mary's County, MD"	"24037"	64.91	52.03	91.18
	"Somerset County, MD"	"24039"	65.50	51.68	90.39
	"Talbot County, MD"	"24041"	64.75	49.90	90.85
	"Washington County, MD"	"24043"	63.46	46.03	90.72
	"Wicomico County, MD"	"24045"	66.21	50.56	91.22
	"Worcester County, MD"	"24047"	64.16	52.47	89.86
	"Baltimore city, MD"	"24510"	64.29	48.35	91.57
	"Barnstable County, MA"	"25001"	55.00	47.78	87.54
	"Berkshire County, MA"	"25003"	54.17	40.46	89.24
	"Bristol County, MA"	"25005"	59.17	43.37	88.22
	"Dukes County, MA"	"25007"	54.13	49.29	Missing
	"Essex County, MA"	"25009"	56.24	43.92	87.63
	"Franklin County, MA"	"25011"	55.85	41.44	88.85
	"Hampden County, MA"	"25013"	57.46	42.95	88.63
	"Hampshire County, MA"	"25015"	56.49	42.29	88.74
	"Middlesex County, MA"	"25017"	57.94	42.58	87.84
	"Nantucket County, MA"	"25019"	53.87	50.06	Missing
	"Norfolk County, MA"	"25021"	58.55	42.96	87.79
	"Plymouth County, MA"	"25023"	58.43	43.73	88.04
	"Suffolk County, MA"	"25025"	58.77	43.22	88.08
	"Worcester County, MA"	"25027"	56.70	41.91	87.97
	"Alcona County, MI"	"26001"	53.54	40.99	89.69
	"Alger County, MI"	"26003"	49.92	38.64	88.14
	"Allegan County, MI"	"26005"	56.38	43.99	91.73
	"Alpena County, MI"	"26007"	51.85	41.76	89.15
	"Antrim County, MI"	"26009"	53.20	40.32	88.23
	"Arenac County, MI"	"26011"	54.78	41.65	90.36
	"Baraga County, MI"	"26013"	51.36	36.24	86.87
	"Barry County, MI"	"26015"	56.87	40.81	92.05
	"Bay County, MI"	"26017"	55.49	40.42	91.00
	"Benzie County, MI"	"26019"	54.29	41.36	88.96
	"Berrien County, MI"	"26021"	58.53	44.29	92.89
	"Branch County, MI"	"26023"	57.77	41.38	92.32
	"Calhoun County, MI"	"26025"	57.21	40.81	92.05
	"Cass County, MI"	"26027"	58.43	42.33	92.71
	"Charlevoix County, MI"	"26029"	51.95	41.08	87.84
	"Cheboygan County, MI"	"26031"	49.90	40.77	87.91
	"Chippewa County, MI"	"26033"	50.34	37.90	89.63
	"Clare County, MI"	"26035"	54.84	39.40	89.70
	"Clinton County, MI"	"26037"	56.64	40.44	91.92
	"Crawford County, MI"	"26039"	54.09	38.75	88.61
	"Delta County, MI"	"26041"	52.38	38.51	88.45
	"Dickinson County, MI"	"26043"	52.47	36.24	88.15
	"Eaton County, MI"	"26045"	56.88	40.53	92.16
	"Emmet County, MI"	"26047"	49.75	40.73	88.85
	"Genesee County, MI"	"26049"	55.81	39.96	92.72
	"Gladwin County, MI"	"26051"	55.84	39.75	90.44
	"Gogebic County, MI"	"26053"	49.58	36.03	87.86
	"Grand Traverse County, MI"	"26055"	54.66	39.96	89.71
	"Gratiot County, MI"	"26057"	56.20	39.91	91.10
	"Hillsdale County, MI"	"26059"	57.43	41.17	91.85
	"Houghton County, MI"	"26061"	51.36	38.03	87.45
	"Huron County, MI"	"26063"	53.86	41.07	91.20
	"Ingham County, MI"	"26065"	56.52	40.15	91.97
	"Ionia County, MI"	"26067"	56.57	40.81	91.64
	"Iosco County, MI"	"26069"	55.02	41.29	90.17
	"Iron County, MI"	"26071"	51.60	35.22	87.28
	"Isabella County, MI"	"26073"	55.56	39.57	90.69
	"Jackson County, MI"	"26075"	57.09	40.87	91.54
	"Kalamazoo County, MI"	"26077"	57.35	41.34	92.39
	"Kalkaska County, MI"	"26079"	54.51	39.14	89.10
	"Kent County, MI"	"26081"	56.48	41.19	91.84
	"Keweenaw County, MI"	"26083"	47.02	39.37	86.94
	"Lake County, MI"	"26085"	54.84	40.30	90.26
	"Lapeer County, MI"	"26087"	54.94	39.62	91.82
	"Leelanau County, MI"	"26089"	52.00	42.54	86.47
	"Lenawee County, MI"	"26091"	58.05	41.96	92.06
	"Livingston County, MI"	"26093"	56.22	40.21	92.30
	"Luce County, MI"	"26095"	49.81	38.30	89.00
	"Mackinac County, MI"	"26097"	50.22	38.83	88.88
	"Macomb County, MI"	"26099"	56.23	40.61	92.26
	"Manistee County, MI"	"26101"	54.89	41.30	90.20
	"Marquette County, MI"	"26103"	49.80	37.48	87.07
	"Mason County, MI"	"26105"	54.88	41.94	91.06
	"Mecosta County, MI"	"26107"	54.94	39.33	90.44
	"Menominee County, MI"	"26109"	52.64	38.54	89.03
	"Midland County, MI"	"26111"	56.02	39.57	91.02
	"Missaukee County, MI"	"26113"	54.23	38.85	88.92
	"Monroe County, MI"	"26115"	58.36	42.46	92.54
	"Montcalm County, MI"	"26117"	55.75	40.02	90.99
	"Montmorency County, MI"	"26119"	53.52	39.52	88.96
	"Muskegon County, MI"	"26121"	55.50	42.79	92.05
	"Newaygo County, MI"	"26123"	55.33	40.61	91.41
	"Oakland County, MI"	"26125"	55.68	40.02	91.95
	"Oceana County, MI"	"26127"	54.43	42.27	91.29
	"Ogemaw County, MI"	"26129"	54.74	39.81	89.61
	"Ontonagon County, MI"	"26131"	50.73	38.12	87.44
	"Osceola County, MI"	"26133"	54.20	39.04	89.43
	"Oscoda County, MI"	"26135"	54.00	38.96	89.08
	"Otsego County, MI"	"26137"	52.77	38.64	88.16
	"Ottawa County, MI"	"26139"	56.17	43.34	91.79
	"Presque Isle County, MI"	"26141"	49.41	41.50	86.97
	"Roscommon County, MI"	"26143"	54.68	39.21	89.04
	"Saginaw County, MI"	"26145"	56.15	39.87	92.04
	"St. Clair County, MI"	"26147"	55.37	40.66	92.30
	"St. Joseph County, MI"	"26149"	58.22	41.84	92.64
	"Sanilac County, MI"	"26151"	54.07	40.83	91.82
	"Schoolcraft County, MI"	"26153"	50.52	38.88	87.57
	"Shiawassee County, MI"	"26155"	56.19	40.11	92.76
	"Tuscola County, MI"	"26157"	55.04	39.84	91.74
	"Van Buren County, MI"	"26159"	57.47	43.28	92.84
	"Washtenaw County, MI"	"26161"	57.02	41.15	91.89
	"Wayne County, MI"	"26163"	57.35	41.80	92.26
	"Wexford County, MI"	"26165"	54.11	39.22	89.28
	"Aitkin County, MN"	"27001"	53.32	33.01	88.92
	"Anoka County, MN"	"27003"	54.92	35.17	91.60
	"Becker County, MN"	"27005"	52.05	34.23	88.24
	"Beltrami County, MN"	"27007"	51.63	31.79	87.94
	"Benton County, MN"	"27009"	53.83	35.13	90.53
	"Big Stone County, MN"	"27011"	56.40	36.38	92.24
	"Blue Earth County, MN"	"27013"	56.63	36.84	93.35
	"Brown County, MN"	"27015"	56.62	37.28	93.54
	"Carlton County, MN"	"27017"	52.70	33.37	89.35
	"Carver County, MN"	"27019"	55.46	35.72	92.04
	"Cass County, MN"	"27021"	52.75	32.37	88.70
	"Chippewa County, MN"	"27023"	56.69	37.04	93.06
	"Chisago County, MN"	"27025"	54.64	35.03	90.95
	"Clay County, MN"	"27027"	53.37	34.40	89.45
	"Clearwater County, MN"	"27029"	51.82	33.61	87.83
	"Cook County, MN"	"27031"	46.15	33.71	85.95
	"Cottonwood County, MN"	"27033"	56.14	37.84	92.22
	"Crow Wing County, MN"	"27035"	53.76	33.66	89.28
	"Dakota County, MN"	"27037"	55.72	36.23	91.64
	"Dodge County, MN"	"27039"	55.25	36.74	91.06
	"Douglas County, MN"	"27041"	53.45	34.67	89.62
	"Faribault County, MN"	"27043"	56.83	37.91	92.87
	"Fillmore County, MN"	"27045"	55.96	37.28	91.33
	"Freeborn County, MN"	"27047"	56.20	37.52	91.70
	"Goodhue County, MN"	"27049"	55.37	36.67	91.32
	"Grant County, MN"	"27051"	54.86	35.78	90.68
	"Hennepin County, MN"	"27053"	55.25	35.62	91.93
	"Houston County, MN"	"27055"	56.39	37.60	92.27
	"Hubbard County, MN"	"27057"	51.89	33.51	88.33
	"Isanti County, MN"	"27059"	54.47	34.65	91.41
	"Itasca County, MN"	"27061"	51.86	31.08	88.04
	"Jackson County, MN"	"27063"	56.33	38.40	92.11
	"Kanabec County, MN"	"27065"	53.78	34.70	90.18
	"Kandiyohi County, MN"	"27067"	55.15	36.20	91.41
	"Kittson County, MN"	"27069"	50.86	32.40	87.87
	"Koochiching County, MN"	"27071"	51.22	30.72	87.42
	"Lac qui Parle County, MN"	"27073"	57.22	37.29	93.21
	"Lake County, MN"	"27075"	49.48	32.88	87.11
	"Lake of the Woods County, MN"	"27077"	48.84	31.84	86.85
	"Le Sueur County, MN"	"27079"	56.18	36.50	92.51
	"Lincoln County, MN"	"27081"	55.78	36.69	90.91
	"Lyon County, MN"	"27083"	56.62	36.92	92.52
	"McLeod County, MN"	"27085"	55.38	35.51	92.07
	"Mahnomen County, MN"	"27087"	52.03	34.41	88.17
	"Marshall County, MN"	"27089"	51.38	33.12	88.17
	"Martin County, MN"	"27091"	56.48	37.69	93.17
	"Meeker County, MN"	"27093"	54.77	36.11	91.16
	"Mille Lacs County, MN"	"27095"	53.68	34.38	89.78
	"Morrison County, MN"	"27097"	53.66	34.28	89.77
	"Mower County, MN"	"27099"	55.67	37.00	91.01
	"Murray County, MN"	"27101"	55.90	37.07	91.55
	"Nicollet County, MN"	"27103"	56.33	36.49	93.16
	"Nobles County, MN"	"27105"	56.29	37.73	91.71
	"Norman County, MN"	"27107"	53.22	34.26	89.20
	"Olmsted County, MN"	"27109"	55.46	36.89	91.33
	"Otter Tail County, MN"	"27111"	53.15	34.38	88.94
	"Pennington County, MN"	"27113"	51.80	33.81	88.43
	"Pine County, MN"	"27115"	53.69	33.94	89.75
	"Pipestone County, MN"	"27117"	56.20	36.54	91.32
	"Polk County, MN"	"27119"	52.58	34.18	88.67
	"Pope County, MN"	"27121"	54.55	34.92	90.67
	"Ramsey County, MN"	"27123"	55.26	35.72	91.43
	"Red Lake County, MN"	"27125"	52.16	34.36	88.57
	"Redwood County, MN"	"27127"	56.79	37.47	93.20
	"Renville County, MN"	"27129"	56.07	36.44	92.60
	"Rice County, MN"	"27131"	55.59	36.47	91.43
	"Rock County, MN"	"27133"	57.39	38.07	92.22
	"Roseau County, MN"	"27135"	50.00	31.58	87.24
	"St. Louis County, MN"	"27137"	50.71	31.77	87.90
	"Scott County, MN"	"27139"	55.88	36.24	92.11
	"Sherburne County, MN"	"27141"	54.57	35.05	91.80
	"Sibley County, MN"	"27143"	55.87	35.99	92.50
	"Stearns County, MN"	"27145"	54.07	35.11	90.41
	"Steele County, MN"	"27147"	55.52	37.21	91.28
	"Stevens County, MN"	"27149"	55.70	36.06	91.72
	"Swift County, MN"	"27151"	56.36	36.58	92.53
	"Todd County, MN"	"27153"	53.28	33.85	89.59
	"Traverse County, MN"	"27155"	55.77	36.28	91.76
	"Wabasha County, MN"	"27157"	55.57	36.42	91.82
	"Wadena County, MN"	"27159"	53.33	33.47	88.91
	"Waseca County, MN"	"27161"	56.15	37.33	92.16
	"Washington County, MN"	"27163"	55.18	35.45	91.19
	"Watonwan County, MN"	"27165"	56.52	37.76	93.41
	"Wilkin County, MN"	"27167"	54.54	35.32	90.62
	"Winona County, MN"	"27169"	55.59	36.18	91.88
	"Wright County, MN"	"27171"	54.77	35.35	91.75
	"Yellow Medicine County, MN"	"27173"	56.93	37.26	93.12
	"Adams County, MS"	"28001"	81.45	56.07	96.32
	"Alcorn County, MS"	"28003"	73.46	53.40	95.68
	"Amite County, MS"	"28005"	80.13	56.69	94.84
	"Attala County, MS"	"28007"	77.56	54.08	95.63
	"Benton County, MS"	"28009"	73.46	54.10	95.74
	"Bolivar County, MS"	"28011"	78.54	54.10	97.43
	"Calhoun County, MS"	"28013"	76.51	53.74	96.11
	"Carroll County, MS"	"28015"	77.66	54.52	96.12
	"Chickasaw County, MS"	"28017"	76.35	53.66	95.94
	"Choctaw County, MS"	"28019"	76.56	54.49	95.11
	"Claiborne County, MS"	"28021"	80.64	55.94	96.19
	"Clarke County, MS"	"28023"	78.68	54.65	95.03
	"Clay County, MS"	"28025"	77.14	53.13	96.11
	"Coahoma County, MS"	"28027"	77.28	54.54	97.24
	"Copiah County, MS"	"28029"	79.36	55.73	95.42
	"Covington County, MS"	"28031"	79.17	55.10	95.11
	"DeSoto County, MS"	"28033"	75.18	53.88	97.08
	"Forrest County, MS"	"28035"	79.82	55.31	94.78
	"Franklin County, MS"	"28037"	80.20	56.46	95.13
	"George County, MS"	"28039"	79.62	56.98	94.83
	"Greene County, MS"	"28041"	79.92	55.46	95.10
	"Grenada County, MS"	"28043"	77.35	54.85	96.31
	"Hancock County, MS"	"28045"	79.55	60.34	94.91
	"Harrison County, MS"	"28047"	78.44	60.30	95.07
	"Hinds County, MS"	"28049"	79.49	55.72	96.14
	"Holmes County, MS"	"28051"	78.59	54.54	96.42
	"Humphreys County, MS"	"28053"	79.40	54.93	97.21
	"Issaquena County, MS"	"28055"	79.99	55.13	97.38
	"Itawamba County, MS"	"28057"	75.49	53.35	95.81
	"Jackson County, MS"	"28059"	78.99	59.94	95.07
	"Jasper County, MS"	"28061"	78.37	54.69	94.87
	"Jefferson County, MS"	"28063"	80.59	56.31	95.84
	"Jefferson Davis County, MS"	"28065"	79.08	55.51	94.76
	"Jones County, MS"	"28067"	79.57	54.51	95.29
	"Kemper County, MS"	"28069"	77.20	53.92	95.08
	"Lafayette County, MS"	"28071"	75.67	53.35	96.14
	"Lamar County, MS"	"28073"	79.54	55.14	94.43
	"Lauderdale County, MS"	"28075"	77.56	53.84	94.66
	"Lawrence County, MS"	"28077"	79.46	55.83	95.08
	"Leake County, MS"	"28079"	77.92	53.92	95.30
	"Lee County, MS"	"28081"	75.73	53.42	96.23
	"Leflore County, MS"	"28083"	78.69	54.95	97.09
	"Lincoln County, MS"	"28085"	79.40	55.67	94.73
	"Lowndes County, MS"	"28087"	77.53	52.85	96.03
	"Madison County, MS"	"28089"	78.84	55.30	96.07
	"Marion County, MS"	"28091"	79.65	56.32	94.84
	"Marshall County, MS"	"28093"	74.33	53.47	96.23
	"Monroe County, MS"	"28095"	76.82	53.05	96.21
	"Montgomery County, MS"	"28097"	77.12	54.08	95.58
	"Neshoba County, MS"	"28099"	77.20	53.47	94.97
	"Newton County, MS"	"28101"	77.64	54.08	94.73
	"Noxubee County, MS"	"28103"	77.34	54.00	95.81
	"Oktibbeha County, MS"	"28105"	76.97	53.86	95.70
	"Panola County, MS"	"28107"	76.50	53.87	96.75
	"Pearl River County, MS"	"28109"	80.01	57.15	94.76
	"Perry County, MS"	"28111"	79.80	55.62	94.93
	"Pike County, MS"	"28113"	79.67	56.74	94.63
	"Pontotoc County, MS"	"28115"	75.37	52.80	95.83
	"Prentiss County, MS"	"28117"	74.30	53.38	95.80
	"Quitman County, MS"	"28119"	77.24	54.65	97.13
	"Rankin County, MS"	"28121"	78.72	55.00	95.51
	"Scott County, MS"	"28123"	78.02	54.15	95.10
